product_name,SKU,Product Barcode/ASIN/EAN,price,quantity
PRIMA STAINLESS STEEL BBQ UTENSIL SET 3PC,14036C,5038673140360,5.51,12
PRIMA STAINLESS STEEL BBQ SLOTTED TURNER 46CM,14040C,5038673140407,3.1,12
PRIMA WOODEN HANDLE BBQ SKEWER 5MM,14058C,5038673140582,0.71,24
PRIMA WOODEN HANDLE STAINLESS STEEL BBQ SKEWER 5MM,14060C,5038673140605,1.26,12
PRIMA WOODEN HANDLE STAINLESS STEEL BBQ SKEWER 8MM,14061C,5038673140612,1.52,12
PRIMA BBQ GRILL BASKET 34.5 X 21.5 X 46CM,14073C,5038673140735,3.41,12
PRIMA GALVANISED STEEL BBQ GRILL BASKET 22.5 X 34.5 X 55.5CM,14077C,5038673140773,3.56,12
PRIMA BBQ GRILL BASKET 25.5 X 26CM,14078C,5038673140780,3.82,24
PRIMA STAINLESS STEEL TURKEY FORK,14079C,5038673140797,1.5,12
PRIMA STAINLESS STEEL BBQ SKEWERS 5MM,14081C,5038673140810,0.76,12
PRIMA STAINLESS STEEL 8MM BBQ SKEWERS 24'',14082C,5038673140827,1.23,12
PRIMA BAMBOO SKEWERS 35CM 25 PACK,14136C,5038673141367,1.23,12
PRIMA BAMBOO SKEWERS 35CM 50 PACK,14137C,5038673141374,0.96,12
PRIMA OVAL COOLER BAG 2L,16005C,5038673160054,1.64,24
PRIMA 7L COOLER BAG WITH 400G ICE PACK SET,16014C,5038673160146,3.18,12
PRIMA STAINLESS STEEL ICE BUCKET 14CM,17017C,5038673170176,1.23,20
PRIMA STAINLESS STEEL COCKTAIL SHAKER 0.75L,17196C,5038673171968,2.67,24
PRIMA STAINLESS STEEL RING KNOB DOTTED WINE BUCKET,17285C,5038673172859,4.23,12
PRIMA STAINLESS STEEL ICE BUCKET 1.8L,17286C,5038673172866,7.85,4
PRIMA STAINLESS STEEL BAR SET 4PC,17321C,5038673173214,4.23,4
PRIMA ALUMINIUM MEAT TENDERISER,18264C,5038673182643,2.21,12
PRIMA STAINLESS STEEL CORN SKEWER 8 PACK,18574C,5038673185743,0.82,12
